protein_id,graph_degree,graph_weight,graph_lift
P36543,796,5992.0,4830.812450000007
Q9H1K4,786,5452.0,4776.221000000006
Q9BXF3,7219,37837.0,46926.25728999982
Q7RTP6,4557,21231.0,30513.15142999988
Q9BYH1,5185,26294.0,33782.2374899998
Q8IUG5,9171,43746.0,60367.32847999969
O43435,1438,7269.0,9902.886559999999
Q9BYB4,2969,15004.0,19956.48249999991
Q8NFQ6,3342,16919.0,22145.05921999982
P01127,1259,5551.0,8358.437710000015
Q9UBB4,684,3046.0,4461.008210000001
Q9NNW7,2598,13141.0,17141.797850000035
Q7L3V2,1545,8003.0,10210.801750000019
Q9BWW9,603,2027.0,4050.4474100000034
Q9BY27,483,2576.0,3211.30612
P12018,1018,5235.0,6864.958869999996
P11274,3616,15539.0,24872.854359999983
Q9BWT7,2190,10833.0,14588.274209999978
Q96EK2,3112,14735.0,20331.983759999952
Q96D21,667,3824.0,4148.07453000001
Q9Y698,2726,14918.0,17610.179710000026
Q8IYW4,823,4659.0,5346.424820000001
O75791,1228,6461.0,8105.156319999988
P23142,3102,13659.0,20993.900149999914
O95755,2292,10345.0,15309.364990000016
Q9UHP6,1515,7727.0,9977.239960000023
P19086,968,5152.0,6397.296030000011
Q9NYQ6,8192,39563.0,54781.06400999984
Q7Z5A7,11362,54654.0,75109.75618000013
Q2NKQ1,2913,14631.0,19051.925629999976
Q6ICI0,223,1237.0,1419.9998799999998
Q9HBI1,5290,23806.0,35685.78366000003
Q9NST1,927,3787.0,6128.882820000009
Q9Y512,239,712.0,1615.2207599999995
P15814,757,5407.0,4585.8701299999975
Q6P575,238,1242.0,1724.3755499999995
Q6PGQ1,762,4471.0,5055.46903
Q8IZJ4,238,1242.0,1724.3755499999995
Q9UC06,238,1242.0,1724.3755499999995
Q6IC83,1851,8671.0,12323.945130000046
O00541,880,4727.0,5727.100390000014
Q8TCT0,1276,7799.0,8320.537980000005
P39023,142,682.0,885.67661
O43759,167,943.0,1023.0015900000003
Q9H4I3,340,1603.0,2134.870709999999
Q9BVL4,340,1603.0,2134.870709999999
Q96RD6,351,1845.0,2191.7310499999985
Q96RT7,340,1603.0,2134.870709999999
P85298,3186,13974.0,21607.65914999986
Q10571,3805,17567.0,25454.085589999962
P13866,207,913.0,1338.1295
Q04917,207,913.0,1338.1295
O14994,3971,22170.0,25272.978689999985
Q2M1V0,198,1038.0,1259.1443900000006
Q9HBI0,832,5113.0,5519.975960000001
Q96F46,432,2786.0,2718.6714599999996
Q9NV39,891,5114.0,5821.856770000015
Q07869,2195,14774.0,14175.30244
Q9NY65,1438,7362.0,9536.499530000006
P21964,840,5277.0,5381.701739999991
P43487,1175,5504.0,7823.251029999988
Q9ULC8,1175,5504.0,7823.251029999988
Q8IZ69,1175,5504.0,7823.251029999988
Q8WYQ5,1175,5504.0,7823.251029999988
H7C350,1175,5504.0,7823.251029999988
Q6ICL3,1246,5738.0,8301.354089999986
Q16587,713,3589.0,4731.496909999998
Q8WYQ3,1827,9359.0,12217.933659999995
P24347,949,5051.0,6481.050630000017
Q12824,949,5051.0,6481.050630000017
Q96Q80,949,5051.0,6481.050630000017
P43320,729,3866.0,5151.215699999998
Q8WWX9,415,3530.0,2532.4604600000007
P53814,415,3530.0,2532.4604600000007
