protein_id,gene_symbol
A0A087X1C5,CYP2D7
A1L190,SYCE3
A6PVC2,TTLL8
A8K8P3,SFI1
L0R8F8,MIEF1
O00178,GTPBP1
O00192,ARVCF
O00501,CLDN5
O00541,PES1
O14791,APOL1
O14994,SYN3
O15031,PLXNB2
O15371,EIF3D
O15499,GSC2
O15547,P2RX6
O43251,RBFOX2
O43272,PRODH
O43435,TBX1
O43731,KDELR3
O43759,SYNGR1
O43808,SLC25A17
O43819,SCO2
O60704,TPST2
O60733,PLA2G6
O60755,GALR3
O60784,TOM1
O75132,ZBED4
O75140,DEPDC5
O75170,PPP6R2
O75419,CDC45
O75600,GCAT
O75631,UPK3A
O75648,TRMU
O75677,RFPL1
O75679,RFPL3
O75791,GRAP2
O76054,SEC14L2
O95236,APOL3
O95248,SBF1
O95461,LARGE1
O95503,CBX6
O95696,BRD1
O95721,SNAP29
O95907,SLC16A8
O95922,TTLL1
O95931,CBX7
O95985,TOP3B
O96015,DNAL4
O96017,CHEK2
P00387,CYB5R3
P01127,PDGFB
P01701,IGLV1-51
P02144,MB
P05162,LGALS2
P05546,SERPIND1
P07305,H1-0
A0M8Q6,IGLC7
A8MYP8,CIMAP1B
B8ZZ34,SHISA8
O00587,MFNG
O43247,CIMIP4
O75678,RFPL2
O95755,RAB36
A0A0A0MRZ9,IGLV5-52
A0A1W2PR19,GSTT4
A0A590UK83,SMIM45
A0A6I8PU40,TUG1
A4QPH2,PI4KAP2
A6NJZ7,RIMBP3C
A6NM43,CCT8L1P
A6NNM3,RIMBP3B
A8MPS7,YDJC
B9A064,IGLL5
O15442,MPPED1
O43246,SLC7A4
O95502,NPTXR
A0A024R1R8,TMA7B
A0A0A0MT76,IGLJ1
A4QPB2,LRP5L
A6NGB0,TMEM191C
A6NHG4,DDTL
B1AH88,TSPO
B5MD39,GGTLC3
F5H4B4,FAM227A
H7C350,CCDC188
O60688,YPEL1
O95567,C22orf31
A0A494C0N9,FAM246B
A0A494C0Y3,FAM246A
B5MCN3,SEC14L6
P09382,LGALS1
P09601,HMOX1
P0CG04,IGLC1
P0CG30,GSTT2B
P0DOY3,IGLC3
P10323,ACR
P10635,CYP2D6
P11274,BCR
P12018,VPREB1
P12036,NEFH
P12956,XRCC6
P13224,GP1BB
P13725,OSM
P13866,SLC5A1
P14174,MIF
P14784,IL2RB
P15018,LIF
P15153,RAC2
P15289,ARSA
P15814,IGLL1
P17050,NAGA
P17861,XBP1
P18848,ATF4
P19086,GNAZ
P19440,GGT1
P19971,TYMP
P20062,TCN2
P20472,PVALB
P21964,COMT
P23142,FBLN1
P24347,MMP11
P25325,MPST
P26998,CRYBB3
P28482,MAPK1
P29274,ADORA2A
P30046,DDT
P30536,TSPO
P30566,ADSL
P31941,APOBEC3A
P32745,SSTR3
P32927,CSF2RB
P33992,MCM5
P35240,NF2
P35579,MYH9
P35625,TIMP3
P35626,GRK3
P36269,GGT5
P36543,ATP6V1E1
P39023,RPL3
P42356,PI4KA
P43320,CRYBB2
P43487,RANBP1
P46060,RANGAP1
P46109,CRKL
P48050,KCNJ4
P48739,PITPNB
P49593,PPM1F
P49674,CSNK1E
P50502,ST13
P53007,SLC25A1
P53671,LIMK2
P53673,CRYBA4
P53674,CRYBB1
P53675,CLTCL1
P53778,MAPK12
P53814,SMTN
P54198,HIRA
P55769,SNU13
P55957,BID
P56556,NDUFA6
P56693,SOX10
P56706,WNT7B
P59817,ZNF280A
P61218,POLR2F
P62318,SNRPD3
P62877,RBX1
P68036,UBE2L3
P78395,PRAME
P85298,ARHGAP8
P85299,PRR5
P0CF74,IGLC6
P0CG29,GSTT2
P0DOY2,IGLC2
P0C7N4,TMEM191B
P0C7P2,RFPL3S
P0DSO1,FAM246C
P61580,ERVK-10
P61581,ERVK-24
P86434,ADORA2A-AS1
P98153,DGCR2
Q00587,CDC42EP1
Q01844,EWSR1
Q04917,YWHAH
Q07869,PPARA
Q09327,MGAT3
Q09472,EP300
Q10567,AP1B1
Q10571,MN1
Q10587,TEF
Q12772,SREBF2
Q12824,SMARCB1
Q13323,BIK
Q13356,PPIL2
Q13387,MAPK8IP2
Q13615,MTMR3
Q13769,THOC5
Q14106,TOB2
Q14129,DGCR6
Q14166,TTLL12
Q14565,DMC1
Q15040,JOSD1
Q15049,MLC1
Q15080,NCF4
Q15459,SF3A1
Q15735,INPP5J
Q15750,TAB1
Q15759,MAPK11
Q16587,ZNF74
Q16762,TST
Q2M1V0,ISX
Q2NKQ1,SGSM1
Q3SXP7,SHISAL1
Q53GT1,KLHL22
Q5R3F8,ELFN2
Q5THR3,EFCAB6
Q5TIA1,MEI1
Q69YQ0,SPECC1L
Q6IBW4,NCAPH2
Q6IC98,GRAMD4
Q6ICB0,DESI1
Q6ICB4,PHETA2
Q6ICG8,WBP2NL
Q6ICL3,TANGO2
Q6ICL7,SLC35E4
Q6NTF7,APOBEC3H
Q6NUI6,CHADL
Q6P5X5,C22orf39
Q6UXH1,CRELD2
Q6UXY1,BAIAP2L2
Q6ZT62,BARGIN
Q7L3V2,RTL10
Q7RTP6,MICAL3
Q7RTV0,PHF5A
Q7Z412,PEX26
Q7Z4H4,ADM2
Q7Z5A7,TAFA5
Q86V86,PIM3
Q86WX3,RPS19BP1
Q8IU80,TMPRSS6
Q8IUG5,MYO18B
Q6NVV7,CDPF1
Q7Z3Z3,PIWIL3
Q7Z6Z6,PNPLA5
Q86YH2,ZNF280B
Q14390,GGTLC2
Q2VPJ9,LRRC75B
Q2WGN9,GAB4
Q5GH77,XKR3
Q5THK1,PRR14L
Q6ICC9,RTL6
Q6ICG6,KIAA0930
Q6ICH7,ASPHD2
Q6NXT1,ANKRD54
Q6S545,POTEH
Q7Z4Y8,ATP5MGL
Q7Z6W7,DNAJB7
Q86V35,CABP7
Q3SYA9,POM121L1P
Q569K6,CCDC157
Q5R3I4,TTC38
Q6ICI0,LHFPL7
Q6P575,GUSBP11
Q6PGQ1,DRICH1
Q6ZQY2,LRRC74B
Q6ZVW7,IL17REL
Q6IC83,C22orf42
Q6UXV3,UNQ6126/PRO20091
Q8IUX4,APOBEC3F
Q8IVS2,MCAT
Q8IWD4,CCDC117
Q8IWF2,FOXRED2
Q8IWL3,HSCB
Q8IWY4,SCUBE1
Q8IYX3,CCDC116
Q8IZ69,TRMT2A
Q8N3F8,MICALL1
Q8N5Z5,KCTD17
Q8N653,LZTR1
Q8NDV3,SMC1B
Q8NEJ0,DUSP18
Q8NET5,NFAM1
Q8TCT0,CERK
Q8WTX7,CASTOR1
Q8WUA7,TBC1D22A
Q8WWX9,SELENOM
Q8WYQ3,CHCHD10
Q8WYQ5,DGCR8
Q92523,CPT1B
Q92737,RASL10A
Q92841,DDX17
Q92871,PMM1
Q92890,UFD1
Q969R2,OSBP2
Q969R5,L3MBTL2
Q969S8,HDAC10
Q969V6,MRTFA
Q96A84,EMID1
Q96AK3,APOBEC3D
Q96AY4,TTC28
Q96D21,RASD2
Q96DF8,ESS2
Q96F46,IL17RA
Q96FE7,PIK3IP1
Q96G42,KLHDC7B
Q96GD0,PDXP
Q96GF1,RNF185
Q96GP6,SCARF2
Q96HU1,SGSM3
Q96JB3,HIC2
Q96MU8,KREMEN1
Q96NN9,AIFM3
Q96NT3,GUCD1
Q96PF2,TSSK2
Q96Q80,DERL3
Q96RD6,PANX2
Q96RJ3,TNFRSF13C
Q96RN5,MED15
Q96RT7,TUBGCP6
Q99501,GAS2L1
Q99705,MCHR1
Q99719,SEPTIN5
Q99757,TXN2
Q99798,ACO2
Q99999,GAL3ST1
Q9BPW8,NIPSNAP1
Q9BQE5,APOL2
Q9BR01,SULT4A1
Q9BT49,THAP7
Q9BV10,ALG12
Q9BVL4,SELENOO
Q9BW83,IFT27
Q9BWT7,CARD10
Q9BWW8,APOL6
Q9BXF3,CECR2
Q9BXI6,TBC1D10A
Q9BXI9,C1QTNF6
Q9BXK5,BCL2L13
Q9BXT6,MOV10L1
Q8IZJ4,RGL4
Q8N7B1,HORMAD2
Q8NEG4,SACK1F
Q8WYQ4,C22orf15
Q9BPW4,APOL4
Q9BU23,LMF2
Q9BWW9,APOL5
Q8NEG7,DENND6B
Q8NFI4,ST13P5
Q8NFQ6,BPIFC
Q8NG94,OR11H1
Q96EK2,PHF21B
Q96SF2,CCT8L2
Q9BXW7,HDHD5
Q8IYW4,ENTHD1
Q9BXQ6,TMEM121B
Q8N1L1,LINC00528
Q8N8J0,PI4KAP1
Q9BY27,DGCR6L
Q9BY77,POLDIP3
Q9BYB0,SHANK3
Q9BYB4,GNB1L
Q9BYH1,SEZ6L
Q9BYW1,SLC2A11
Q9BZR6,RTN4R
Q9H1I8,ASCC2
Q9H1K4,SLC25A18
Q9H2D6,TRIOBP
Q9H4I3,TRABD
Q9H4I9,SMDT1
Q9H6E4,CCDC134
Q9HBE1,PATZ1
Q9HBI0,PARVG
Q9HBI1,PARVB
Q9HC16,APOBEC3G
Q9NNW7,TXNRD2
Q9NP61,ARFGAP3
Q9NPC4,A4GALT
Q9NQ50,MRPL40
Q9NQG6,MIEF1
Q9NQG7,HPS4
Q9NQH7,XPNPEP3
Q9NRA8,EIF4ENIF1
Q9NRD5,PICK1
Q9NRW3,APOBEC3C
Q9NS69,TOMM22
Q9NSP4,CENPM
Q9NST1,PNPLA3
Q9NTG1,PKDREJ
Q9NWS6,SIRAL2
Q9NY65,TUBA8
Q9NY91,SLC5A4
Q9NYQ6,CELSR1
Q9NYZ3,GTSE1
Q9NZ20,PLA2G3
Q9NZK5,ADA2
Q9P0X4,CACNA1I
Q9UBB4,ATXN10
Q9UBB9,TFIP11
Q9UBR1,UPB1
Q9UDW1,UQCR10
Q9UDW3,ZMAT5
Q9UDX3,SEC14L4
Q9UDX5,MTFP1
Q9UFD9,RIMBP3
Q9UG56,PISD
Q9UGB7,MIOX
Q9UGR2,ZC3H7B
Q9UGT4,SUSD2
Q9UGU0,TCF20
Q9UGU5,HMGXB4
Q9UGY1,NOL12
Q9UH03,SEPTIN3
Q9UH17,APOBEC3B
Q9UH99,SUN2
Q9UHP6,RSPH14
Q9UIA0,CYTH4
Q9UJY5,GGA1
Q9UKX7,NUP50
Q9ULC8,ZDHHC8
Q9ULT6,ZNRF3
Q9ULX9,MAFF
Q9UMW8,USP18
Q9UNF0,PACSIN2
Q9UNT1,RABL2B
Q9UPQ9,TNRC6B
Q9Y259,CHKB
Q9Y262,EIF3L
Q9Y295,DRG1
Q9Y3A4,RRP7A
Q9Y3I0,RTCB
Q9Y3I1,FBXO7
Q9Y3L3,SH3BP1
Q9Y3M2,CBY1
Q9H4I8,SERHL2
Q9H4K1,RIBC2
Q9H6A9,PCNX3
Q9HCN8,SDF2L1
Q9NV39,PRR34
Q9NQF3,SERHL
Q9UC06,ZNF70
Q9UDX4,SEC14L3
Q9UH36,SRRD
Q9UKI3,VPREB3
Q9BY89,KIAA1671
Q9BZE7,C22orf23
Q9NSQ0,RRP7BP
Q9H0A3,TMEM191A
Q9Y512,SAMM50
Q9Y535,POLR3H
Q9Y698,CACNG2
Q9Y6J0,CABIN1
Q9Y6X9,MORC2
Q9Y519,TMEM184B
Q9Y534,CSDC2
Q9Y6U7,RNF215
Q9Y3P4,RHBDD3
Q9Y442,YWHAH-AS1
P0DOX8,P0DOX8
Q5BKY6,Q5BKY6
Q6ZR54,Q6ZR54
Q96M85,Q96M85
