node_id,type,protein_id,gene_symbol,graph_degree,graph_weight,graph_lift,beta_phenotype,mean_log2_intensity,detection_rate,phenotype_difference,site,label
protein:P36543,protein,P36543,ATP6V1E1,796.0,5992.0,4830.812450000007,0.0,12.040573435843056,0.943,-0.025035742690764806,,
gene:ATP6V1E1,gene,,ATP6V1E1,,,,,,,,,
site:site1,site,,,,,,,,,,site1,
site:site2,site,,,,,,,,,,site2,
site:site3,site,,,,,,,,,,site3,
protein:Q9H1K4,protein,Q9H1K4,SLC25A18,786.0,5452.0,4776.221000000006,0.0,11.512740410588869,0.9255,0.0021512331972441956,,
gene:SLC25A18,gene,,SLC25A18,,,,,,,,,
protein:Q9BXF3,protein,Q9BXF3,CECR2,7219.0,37837.0,46926.25728999982,0.0,7.991766431593795,0.88625,0.00026371698291249857,,
gene:CECR2,gene,,CECR2,,,,,,,,,
protein:Q7RTP6,protein,Q7RTP6,MICAL3,4557.0,21231.0,30513.15142999988,-0.6175819860877398,7.781929158401813,0.88225,-0.5669372010541354,,
gene:MICAL3,gene,,MICAL3,,,,,,,,,
protein:Q9BYH1,protein,Q9BYH1,SEZ6L,5185.0,26294.0,33782.2374899998,0.0,15.870723558897245,0.9975,-0.0004950689546152631,,
gene:SEZ6L,gene,,SEZ6L,,,,,,,,,
protein:Q8IUG5,protein,Q8IUG5,MYO18B,9171.0,43746.0,60367.32847999969,0.0,9.491983897834537,0.9005,0.03244267924701205,,
gene:MYO18B,gene,,MYO18B,,,,,,,,,
protein:O43435,protein,O43435,TBX1,1438.0,7269.0,9902.88656,0.0,13.17028739539749,0.956,0.023980072652378226,,
gene:TBX1,gene,,TBX1,,,,,,,,,
protein:Q9BYB4,protein,Q9BYB4,GNB1L,2969.0,15004.0,19956.48249999991,0.0,11.489314760246451,0.93325,-0.004992554823200379,,
gene:GNB1L,gene,,GNB1L,,,,,,,,,
protein:Q8NFQ6,protein,Q8NFQ6,BPIFC,3342.0,16919.0,22145.05921999982,0.0,10.710743526846553,0.91725,-0.018521753451654632,,
gene:BPIFC,gene,,BPIFC,,,,,,,,,
protein:P01127,protein,P01127,PDGFB,1259.0,5551.0,8358.437710000015,0.0,7.2920527377521625,0.8675,-0.04907164727978852,,
gene:PDGFB,gene,,PDGFB,,,,,,,,,
protein:Q9UBB4,protein,Q9UBB4,ATXN10,684.0,3046.0,4461.008210000001,0.0,12.80667719852554,0.9495,-0.07062525722819935,,
gene:ATXN10,gene,,ATXN10,,,,,,,,,
protein:Q9NNW7,protein,Q9NNW7,TXNRD2,2598.0,13141.0,17141.797850000035,0.0,7.649633064516128,0.868,-0.03789599606730398,,
gene:TXNRD2,gene,,TXNRD2,,,,,,,,,
protein:Q7L3V2,protein,Q7L3V2,RTL10,1545.0,8003.0,10210.80175000002,0.0,12.890335433070867,0.9525,-0.02031079505288602,,
gene:RTL10,gene,,RTL10,,,,,,,,,
protein:Q9BWW9,protein,Q9BWW9,APOL5,603.0,2027.0,4050.4474100000034,0.0,14.084634032634032,0.96525,0.012333515098834624,,
gene:APOL5,gene,,APOL5,,,,,,,,,
protein:Q9BY27,protein,Q9BY27,DGCR6L,483.0,2576.0,3211.30612,0.0,7.726296054499007,0.88075,0.019521343748334807,,
gene:DGCR6L,gene,,DGCR6L,,,,,,,,,
protein:P12018,protein,P12018,VPREB1,1018.0,5235.0,6864.958869999996,0.0,6.236486604542807,0.8585,-0.04887905561870998,,
gene:VPREB1,gene,,VPREB1,,,,,,,,,
protein:P11274,protein,P11274,BCR,3616.0,15539.0,24872.854359999983,0.0,12.995820398531725,0.9535,-0.04797198414391346,,
gene:BCR,gene,,BCR,,,,,,,,,
protein:Q9BWT7,protein,Q9BWT7,CARD10,2190.0,10833.0,14588.274209999978,0.0,14.712509003296981,0.98575,-0.07740318862706808,,
gene:CARD10,gene,,CARD10,,,,,,,,,
protein:Q96EK2,protein,Q96EK2,PHF21B,3112.0,14735.0,20331.983759999952,0.0,11.488264588329336,0.93825,0.09455766872462945,,
gene:PHF21B,gene,,PHF21B,,,,,,,,,
protein:Q96D21,protein,Q96D21,RASD2,667.0,3824.0,4148.07453000001,-0.0668739108793384,9.081700480361684,0.88475,-0.023158727154786618,,
gene:RASD2,gene,,RASD2,,,,,,,,,
protein:Q9Y698,protein,Q9Y698,CACNG2,2726.0,14918.0,17610.179710000026,0.0,15.535181268882177,0.993,-0.05358939338034929,,
gene:CACNG2,gene,,CACNG2,,,,,,,,,
protein:Q8IYW4,protein,Q8IYW4,ENTHD1,823.0,4659.0,5346.424820000001,0.0,10.25588858547242,0.9155,-0.0190231589409926,,
gene:ENTHD1,gene,,ENTHD1,,,,,,,,,
protein:O75791,protein,O75791,GRAP2,1228.0,6461.0,8105.156319999988,0.0,7.258058566433566,0.858,-0.004787913653298226,,
gene:GRAP2,gene,,GRAP2,,,,,,,,,
protein:P23142,protein,P23142,FBLN1,3102.0,13659.0,20993.90014999991,0.0,10.192275302530254,0.909,-0.049758768329709824,,
gene:FBLN1,gene,,FBLN1,,,,,,,,,
