protein_id,graph_degree,graph_weight,graph_lift,phenotype_difference,coefficient,absolute_coefficient,graph_degree_rank,model_rank
P36543,796,5992.0,4830.812450000007,-0.0250357426907648,0.1151319329134584,0.1151319329134584,114.0,223.0
Q9H1K4,786,5452.0,4776.221000000006,0.0021512331972441,0.0515860684195236,0.0515860684195236,117.0,312.0
Q9BXF3,7219,37837.0,46926.25728999982,0.0002637169829124,0.0578276951302872,0.0578276951302872,4.0,298.0
Q7RTP6,4557,21231.0,30513.15142999988,-0.5669372010541354,-0.8592720439461828,0.8592720439461828,8.0,12.0
Q9BYH1,5185,26294.0,33782.2374899998,-0.0004950689546152,0.1599546872413641,0.1599546872413641,7.0,170.0
Q8IUG5,9171,43746.0,60367.32847999969,0.032442679247012,0.3276887462357919,0.3276887462357919,2.0,61.0
O43435,1438,7269.0,9902.88656,0.0239800726523782,-0.0272836221569591,0.0272836221569591,45.0,350.0
Q9BYB4,2969,15004.0,19956.48249999991,-0.0049925548232003,0.0769924880879156,0.0769924880879156,21.0,273.0
Q8NFQ6,3342,16919.0,22145.05921999982,-0.0185217534516546,0.1178113219717142,0.1178113219717142,14.0,218.0
P01127,1259,5551.0,8358.437710000015,-0.0490716472797885,-0.0255301515525323,0.0255301515525323,55.0,351.0
Q9UBB4,684,3046.0,4461.008210000001,-0.0706252572281993,-0.3062662425775798,0.3062662425775798,130.0,68.0
Q9NNW7,2598,13141.0,17141.797850000035,-0.0378959960673039,0.0192173289435943,0.0192173289435943,25.0,361.0
Q7L3V2,1545,8003.0,10210.80175000002,-0.020310795052886,-0.171970358607749,0.171970358607749,43.0,162.0
Q9BWW9,603,2027.0,4050.4474100000034,0.0123335150988346,-0.0616669112032841,0.0616669112032841,150.0,293.0
Q9BY27,483,2576.0,3211.30612,0.0195213437483348,-0.1913519761606772,0.1913519761606772,167.0,143.0
P12018,1018,5235.0,6864.958869999996,-0.0488790556187099,-0.1834264713588374,0.1834264713588374,84.0,149.0
P11274,3616,15539.0,24872.854359999983,-0.0479719841439134,-0.0760192722556637,0.0760192722556637,13.0,274.0
Q9BWT7,2190,10833.0,14588.274209999978,-0.077403188627068,-0.1866869698926991,0.1866869698926991,28.0,147.0
Q96EK2,3112,14735.0,20331.983759999952,0.0945576687246294,0.5667129695930534,0.5667129695930534,19.0,23.0
Q96D21,667,3824.0,4148.07453000001,-0.0231587271547866,-0.0379972061267097,0.0379972061267097,134.0,339.0
Q9Y698,2726,14918.0,17610.179710000026,-0.0535893933803492,-0.1447445394874338,0.1447445394874338,23.0,184.0
Q8IYW4,823,4659.0,5346.424820000001,-0.0190231589409926,0.0659581004877815,0.0659581004877815,108.0,284.0
O75791,1228,6461.0,8105.156319999988,-0.0047879136532982,0.0896180111683536,0.0896180111683536,66.0,258.0
P23142,3102,13659.0,20993.90014999991,-0.0497587683297098,-0.1922824765604452,0.1922824765604452,20.0,141.0
O95755,2292,10345.0,15309.364990000016,0.0103122926901377,-0.1915117768091094,0.1915117768091094,26.0,142.0
Q9UHP6,1515,7727.0,9977.239960000024,-0.0434942437091532,-0.358944267984241,0.358944267984241,44.0,49.0
P19086,968,5152.0,6397.296030000011,0.0114938721520179,0.1036644765526474,0.1036644765526474,86.0,234.0
Q9NYQ6,8192,39563.0,54781.06400999984,-0.0031756901595549,0.0065261517748782,0.0065261517748782,3.0,391.0
Q7Z5A7,11362,54654.0,75109.75618000013,0.0133075366207702,-0.0086111343576406,0.0086111343576406,1.0,386.0
Q2NKQ1,2913,14631.0,19051.925629999976,-0.0197187730587735,0.0459306976485867,0.0459306976485867,22.0,324.0
Q6ICI0,223,1237.0,1419.9998799999998,-0.2020232438279698,-0.340752410561752,0.340752410561752,253.0,57.0
Q9HBI1,5290,23806.0,35685.78366000003,0.4604549447136357,0.5969867427577469,0.5969867427577469,6.0,19.0
Q9NST1,927,3787.0,6128.882820000009,-0.0208333522012349,0.0115620503220072,0.0115620503220072,94.0,378.0
Q9Y512,239,712.0,1615.2207599999997,-0.0159722264231643,-0.2598513625139277,0.2598513625139277,235.0,99.0
P15814,757,5407.0,4585.8701299999975,0.92375747157781,1.7223033113545698,1.7223033113545698,123.0,2.0
Q6P575,238,1242.0,1724.3755499999995,-0.0277254558106463,-0.2682911494965254,0.2682911494965254,237.0,91.0
Q6PGQ1,762,4471.0,5055.46903,0.0079434991734252,0.1020729304221563,0.1020729304221563,122.0,238.0
Q8IZJ4,238,1242.0,1724.3755499999995,0.0765447482606553,-0.0801061040648114,0.0801061040648114,237.0,270.0
Q9UC06,238,1242.0,1724.3755499999995,0.2831624269452106,0.5422119130201497,0.5422119130201497,237.0,24.0
Q6IC83,1851,8671.0,12323.945130000046,0.0037559032162235,-0.2150327831115054,0.2150327831115054,37.0,125.0
O00541,880,4727.0,5727.100390000014,-0.0334249179621402,-0.3843288241635758,0.3843288241635758,100.0,38.0
Q8TCT0,1276,7799.0,8320.537980000005,-0.0213116620893085,-0.1682521896501935,0.1682521896501935,54.0,164.0
P39023,142,682.0,885.67661,-0.0188541611501165,-0.3525643149703226,0.3525643149703226,303.0,53.0
O43759,167,943.0,1023.0015900000004,-0.0080174942200237,0.0961557663502423,0.0961557663502423,282.0,249.0
Q9H4I3,340,1603.0,2134.870709999999,-0.6248519350423738,-0.8981107881133136,0.8981107881133136,211.0,11.0
Q9BVL4,340,1603.0,2134.870709999999,0.0231552203116409,-0.2800303322579323,0.2800303322579323,211.0,82.0
Q96RD6,351,1845.0,2191.7310499999985,-0.0636948958560239,-0.4734324712910113,0.4734324712910113,209.0,29.0
