protein_id,beta_age,beta_sex,beta_phenotype
A0A024R1R8,-0.6584151055291207,0.4179039481571686,0.20961037353625775
A0A087X1C5,1.1913011413420367,0.21009429936246868,0.23262188475720888
A0A0A0MRZ9,-0.08346396505428257,0.4083879336003955,0.3750511207488922
A0A0A0MT76,0.6258625042825975,-0.2606614593186424,-0.2612444837663774
A0A1W2PR19,-0.23955158545599006,0.3954008605894946,0.8990246641780392
A0A494C0N9,-0.22942024657465032,-0.21238686389654562,0.18844633432187952
A0A494C0Y3,-0.12288075000645071,0.476026826569945,-1.351066374371428
A0A590UK83,-0.4133525234584473,-0.3912081669807229,-1.3922136074316869
A0A6I8PU40,-0.48181922218440204,-0.4575780579229631,-0.12066279271129819
A0M8Q6,0.5564829458301318,-0.12253032559535118,-0.6184882321626922
A1L190,-0.028477270606764492,0.5245868107206747,-0.5855752896689429
A4QPB2,-0.4552874419607243,0.2792744796371117,-0.13292166943848033
A4QPH2,0.32374234535473717,-0.0068233958976483804,0.42099818885374024
A6NGB0,-0.5175390570203204,-0.00604232539413372,-0.1264140086178941
A6NHG4,-0.6079454620520653,-0.7817389739343442,0.41144942116479705
A6NJZ7,-0.17547619110898904,-0.5111401408236648,-0.057707362153999346
A6NM43,0.5640094286746513,-1.1403689226859615,-0.8979832139419958
A6NNM3,-0.4614432209476338,0.7305894333601645,0.1695521897515779
A6PVC2,0.3836586202306134,-0.5700804595631153,-0.6717215251623158
A8K8P3,0.2239068583613552,0.029137165467723276,0.3292432913184759
A8MPS7,-0.09383549546422607,0.1390718632273135,0.0948714509430655
A8MYP8,0.3888836945424627,0.4035041409722353,-0.9719231966350619
B1AH88,-1.1236342776704278,0.5008726988257536,0.7126350559571619
B5MCN3,-0.5103115097566687,-0.9299177032728143,0.05942089260432055
B5MD39,0.4654191131752647,0.8987972612171573,0.30977854326087056
B8ZZ34,-0.18585834829284748,-0.44656531079243134,0.006870775002392649
B9A064,-0.1496323519426282,-0.5075339528644081,1.2292533905179719
F5H4B4,0.8925842010360655,0.5680243417777142,-0.5525102386854766
H7C350,0.4275096621486394,0.3198132047489509,0.26552737452243175
L0R8F8,0.6248326335218886,0.3176855714306387,0.4440085417826013
O00178,0.31845314168610506,0.17039570400105294,-1.07016667782851
O00192,0.041810538705278615,-0.2780959794245626,-0.7679045745840123
O00501,0.840908309650412,0.8644976704428518,0.8155323601773672
O00541,0.1276067084279373,0.6753125604763284,0.007231908361095325
O00587,0.10139863844888969,-0.5467356852309915,0.238194782699304
O14791,0.03019296421220855,-0.6513260584172322,-0.030718267089958142
O14994,-0.03986478192840424,0.89878058332232,0.5365279971080457
O15031,0.005722719545733008,0.1243936549005415,0.026527426862518834
O15371,-0.10145699239777387,-0.5412135986941434,-0.09063112656415755
O15442,-0.3730491283262567,-0.6251577694615732,0.3067330887285208
O15499,0.19563232996661747,-0.893353755684039,-0.07361078249707632
O15547,0.49785069294996176,0.5296118694481604,0.6155021057311432
O43246,0.0194566034507299,-0.42252266398457555,-0.6502192964148363
