source,target,weight,lift,source_chr,source_start,source_end,source_cluster,target_chr,target_start,target_end,target_cluster,source_protein,target_protein
chr22_17257431-17286047_cluster125,chr22_27795907-27840691_cluster127,2,7.54963,chr22,17257431,17286047,cluster125,chr22,27795907,27840691,cluster127,,Q10571
chr22_17257431-17286047_cluster125,chr22_44127670-44156872_cluster88,2,7.25926,chr22,17257431,17286047,cluster125,chr22,44127670,44156872,cluster88,,Q9HBI1
chr22_17286047-17311850_cluster62,chr22_22943618-23011425_cluster15,3,9.555,chr22,17286047,17311850,cluster62,chr22,22943618,23011425,cluster15,,
chr22_17286047-17311850_cluster62,chr22_27795907-27840691_cluster127,3,12.2304,chr22,17286047,17311850,cluster62,chr22,27795907,27840691,cluster127,,Q10571
chr22_22943618-23011425_cluster15,chr22_27795907-27840691_cluster127,2,6.37,chr22,22943618,23011425,cluster15,chr22,27795907,27840691,cluster127,,Q10571
chr22_22943618-23011425_cluster15,chr22_44127670-44156872_cluster88,2,6.125,chr22,22943618,23011425,cluster15,chr22,44127670,44156872,cluster88,,Q9HBI1
chr22_23146855-23241440_cluster198,chr22_44098586-44103463_cluster12,2,6.08841,chr22,23146855,23241440,cluster198,chr22,44098586,44103463,cluster12,O95755;P11274,Q9HBI1
chr22_27505000-27522596_cluster34,chr22_44051606-44076464_cluster26,3,10.1379,chr22,27505000,27522596,cluster34,chr22,44051606,44076464,cluster26,,Q9HBI1
chr22_44051606-44076464_cluster26,chr22_44098586-44103463_cluster12,15,42.5139,chr22,44051606,44076464,cluster26,chr22,44098586,44103463,cluster12,Q9HBI1,Q9HBI1
chr22_22943618-23011425_cluster15,chr22_23766514-23847298_cluster36,3,7.70565,chr22,22943618,23011425,cluster15,chr22,23766514,23847298,cluster36,,P24347;Q12824;Q8WYQ3;Q96Q80
chr22_22943618-23011425_cluster15,chr22_27505000-27522596_cluster34,3,9.1875,chr22,22943618,23011425,cluster15,chr22,27505000,27522596,cluster34,,
chr22_22943618-23011425_cluster15,chr22_48346281-48358281_cluster409,2,6.37,chr22,22943618,23011425,cluster15,chr22,48346281,48358281,cluster409,,
chr22_22943618-23011425_cluster15,chr22_48440418-48460740_cluster524,4,12.25,chr22,22943618,23011425,cluster15,chr22,48440418,48460740,cluster524,,
chr22_23766514-23847298_cluster36,chr22_27505000-27522596_cluster34,3,9.48387,chr22,23766514,23847298,cluster36,chr22,27505000,27522596,cluster34,P24347;Q12824;Q8WYQ3;Q96Q80,
